Barratt_Barratt_P1_Edu_college_edu,Barratt_Barratt_P1_Edu_graduate_edu,Barratt_Barratt_P1_Edu_high_school_grad,Barratt_Barratt_P1_Edu_junior_middle_school,Barratt_Barratt_P1_Edu_less_than_7th,Barratt_Barratt_P1_Edu_partial_college,Barratt_Barratt_P1_Edu_partial_high_school,Barratt_Barratt_P1_Edu_unknown,Barratt_Barratt_P1_Occ_0,Barratt_Barratt_P1_Occ_0.0,Barratt_Barratt_P1_Occ_1.0,Barratt_Barratt_P1_Occ_10,Barratt_Barratt_P1_Occ_15,Barratt_Barratt_P1_Occ_15.0,Barratt_Barratt_P1_Occ_20,Barratt_Barratt_P1_Occ_20.0,Barratt_Barratt_P1_Occ_25,Barratt_Barratt_P1_Occ_25.0,Barratt_Barratt_P1_Occ_30,Barratt_Barratt_P1_Occ_30.0,Barratt_Barratt_P1_Occ_35,Barratt_Barratt_P1_Occ_35.0,Barratt_Barratt_P1_Occ_40,Barratt_Barratt_P1_Occ_40.0,Barratt_Barratt_P1_Occ_45,Barratt_Barratt_P1_Occ_45.0,Barratt_Barratt_P1_Occ_5,Barratt_Barratt_P1_Occ_5.0,Barratt_Barratt_P2_Edu_college_edu,Barratt_Barratt_P2_Edu_graduate_edu,Barratt_Barratt_P2_Edu_high_school_grad,Barratt_Barratt_P2_Edu_junior_middle_school,Barratt_Barratt_P2_Edu_less_than_7th,Barratt_Barratt_P2_Edu_partial_college,Barratt_Barratt_P2_Edu_partial_high_school,Barratt_Barratt_P2_Edu_unknown,Barratt_Barratt_P2_Occ_0,Barratt_Barratt_P2_Occ_0.0,Barratt_Barratt_P2_Occ_1.0,Barratt_Barratt_P2_Occ_10,Barratt_Barratt_P2_Occ_10.0,Barratt_Barratt_P2_Occ_15,Barratt_Barratt_P2_Occ_15.0,Barratt_Barratt_P2_Occ_20,Barratt_Barratt_P2_Occ_20.0,Barratt_Barratt_P2_Occ_25,Barratt_Barratt_P2_Occ_25.0,Barratt_Barratt_P2_Occ_30,Barratt_Barratt_P2_Occ_30.0,Barratt_Barratt_P2_Occ_35,Barratt_Barratt_P2_Occ_35.0,Barratt_Barratt_P2_Occ_40,Barratt_Barratt_P2_Occ_40.0,Barratt_Barratt_P2_Occ_45,Barratt_Barratt_P2_Occ_45.0,Barratt_Barratt_P2_Occ_5,Barratt_Barratt_P2_Occ_5.0,Basic_Demos_Enroll_Year,Basic_Demos_Study_Site_1,Basic_Demos_Study_Site_2,Basic_Demos_Study_Site_3,Basic_Demos_Study_Site_4,Basic_Demos_Study_Site_5,MRI_Track_Scan_Location_0,MRI_Track_Scan_Location_1,MRI_Track_Scan_Location_2,MRI_Track_Scan_Location_3,MRI_Track_Scan_Location_4,PreInt_Demos_Fam_Child_Ethnicity_decline_to_say,PreInt_Demos_Fam_Child_Ethnicity_hispanic_or_latino,PreInt_Demos_Fam_Child_Ethnicity_not_hispanic_or_latino,PreInt_Demos_Fam_Child_Ethnicity_unknown,PreInt_Demos_Fam_Child_Race_asian,PreInt_Demos_Fam_Child_Race_black_african_american,PreInt_Demos_Fam_Child_Race_choose_not_to_specify,PreInt_Demos_Fam_Child_Race_hispanic,PreInt_Demos_Fam_Child_Race_indian,PreInt_Demos_Fam_Child_Race_native_hawaiian_pacific_islander,PreInt_Demos_Fam_Child_Race_other_race,PreInt_Demos_Fam_Child_Race_two_or_more_races,PreInt_Demos_Fam_Child_Race_unknown,PreInt_Demos_Fam_Child_Race_white_caucasian,participant_id
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,2022,0,0,0,1.0,0.0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,Cfwaf5FX7jWK
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,2023,0,0,0,1.0,0.0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,vhGrzmvA3Hjq
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,2022,0,0,0,1.0,0.0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,ULliyEXjy4OV
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,0,0.0,2022,0,0,0,1.0,0.0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,LZfeAb1xMtql
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,0,0.0,2022,0,0,0,1.0,0.0,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,EnFOUv0YK1RG
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,0,0.0,2023,0,0,0,1.0,0.0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3VbkvJ22j9Fu
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,0,0.0,2022,0,0,0,1.0,0.0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,PRKZcnOgqcuk
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2022,0,0,0,1.0,0.0,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,DuVUuyMZi5qV
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,2023,0,0,0,1.0,0.0,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,uM4etVLZrgMg
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,0,0.0,2022,0,0,0,1.0,0.0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,BpzyExrET5ta
